Latitude,Longitude,X Coordinate,Y Coordinate,Location
41.91007586,-87.62885162,1176007,1910609,"(41.910075855, -87.628851618)"
41.92091885,-87.75850963,1140688,1914297,"(41.920918854, -87.758509631)"
41.78173165,-87.58786289,1187570,1863935,"(41.781731648, -87.587862886)"
41.89010748,-87.70324051,1155812,1903175,"(41.890107481, -87.70324051)"
41.79756643,-87.62254141,1178064,1869625,"(41.797566426, -87.62254141)"
41.88447238,-87.63337818,1174851,1901269,"(41.884472382, -87.633378182)"
41.70828191,-87.64165413,1173114,1837048,"(41.708281913, -87.641654132)"
41.77743381,-87.63498329,1174731,1862261,"(41.777433807, -87.63498329)"
41.83681793,-87.73003064,1148654,1883704,"(41.836817925, -87.730030636)"
41.79627825,-87.70222775,1156339,1868986,"(41.796278247, -87.702227752)"
41.74805893,-87.66216658,1167400,1851498,"(41.748058925, -87.662166583)"
41.88255387,-87.6243838,1177306,1900590,"(41.882553868, -87.624383802)"
41.88007433,-87.64260273,1172352,1899646,"(41.88007433, -87.642602726)"
41.69436404,-87.62654213,1177282,1832010,"(41.694364039, -87.626542126)"
41.91272897,-87.71907697,1151441,1911387,"(41.912728966, -87.719076966)"
41.99969642,-87.68089245,1161593,1943155,"(41.99969642, -87.680892445)"
41.77151693,-87.58525742,1188313,1860219,"(41.771516934, -87.58525742)"
41.74652845,-87.61116217,1181323,1851053,"(41.746528449, -87.611162171)"
41.76709228,-87.59232484,1186399,1858590,"(41.767092284, -87.592324843)"
41.66253875,-87.643842,1172650,1820375,"(41.66253875, -87.643841995)"
41.70005792,-87.55956365,1195556,1834242,"(41.700057917, -87.559563652)"
41.88816513,-87.62293721,1177683,1902638,"(41.888165132, -87.622937212)"
41.82042826,-87.68845324,1160029,1877814,"(41.820428256, -87.688453242)"
41.75358568,-87.56323829,1194378,1853738,"(41.753585679, -87.563238289)"
41.8237803,-87.62130131,1178323,1879180,"(41.823780295, -87.621301313)"
41.90814848,-87.67398213,1163728,1909809,"(41.908148483, -87.673982127)"
41.86466343,-87.71293275,1153240,1893884,"(41.864663432, -87.712932753)"
41.78091209,-87.65210441,1170051,1863491,"(41.780912085, -87.652104411)"
41.9100068,-87.71551743,1152417,1910402,"(41.910006799, -87.715517428)"
41.89490752,-87.75876864,1140681,1904818,"(41.894907524, -87.758768643)"
41.76549833,-87.68938483,1159925,1857796,"(41.765498328, -87.689384829)"
41.90345063,-87.6314334,1175324,1908189,"(41.903450628, -87.631433403)"
41.89199038,-87.6114615,1180796,1904058,"(41.891990384, -87.611461502)"
41.75507937,-87.6328288,1175385,1854120,"(41.755079369, -87.632828798)"
41.79095329,-87.70104054,1156677,1867048,"(41.790953288, -87.701040541)"
41.79025463,-87.6426181,1172611,1866916,"(41.79025463, -87.642618096)"
41.77966775,-87.73255744,1148111,1862874,"(41.77966775, -87.732557444)"
41.75467673,-87.56265352,1194534,1854137,"(41.754676733, -87.562653519)"
41.79413183,-87.63482406,1174725,1868346,"(41.79413183, -87.634824058)"
41.76160221,-87.60670109,1182494,1856556,"(41.76160221, -87.606701086)"
41.77135758,-87.68211177,1161893,1859946,"(41.771357576, -87.682111773)"
