IUCR,Primary Type,Description,FBI Code
0110,HOMICIDE,FIRST DEGREE MURDER,01A
0142,HOMICIDE,RECKLESS HOMICIDE,01B
0261,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,02
0262,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER FIREARM,02
0263,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,02
0264,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,02
0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,02
0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,02
0271,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - HANDGUN,02
0272,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER FIREARM,02
0273,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - KNIFE / CUTTING INSTRUMENT,02
0275,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER,02
0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,02
0291,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,02
0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,03
0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,03
031A,ROBBERY,ARMED - HANDGUN,03
031B,ROBBERY,ARMED - OTHER FIREARM,03
0320,ROBBERY,STRONG ARM - NO WEAPON,03
0325,ROBBERY,VEHICULAR HIJACKING,03
0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03
0330,ROBBERY,AGGRAVATED,03
0331,ROBBERY,ATTEMPT AGGRAVATED,03
0334,ROBBERY,ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT,03
0337,ROBBERY,ATTEMPT ARMED - OTHER DANGEROUS WEAPON,03
033A,ROBBERY,ATTEMPT ARMED - HANDGUN,03
033B,ROBBERY,ATTEMPT ARMED - OTHER FIREARM,03
0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,03
041A,BATTERY,AGGRAVATED - HANDGUN,04B
041B,BATTERY,AGGRAVATED - OTHER FIREARM,04B
0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,04B
0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,04B
0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",08B
0450,BATTERY,AGGRAVATED POLICE OFFICER - HANDGUN,04B
0452,BATTERY,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,04B
0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,04B
0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",08B
0460,BATTERY,SIMPLE,08B
0461,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",04B
0462,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",04B
0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,24
0475,BATTERY,OF AN UNBORN CHILD,08B
0479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",04B
0482,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,04B
0483,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,04B
0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",08B
0485,BATTERY,AGGRAVATED OF A CHILD,04B
0486,BATTERY,DOMESTIC BATTERY SIMPLE,08B
0487,BATTERY,AGGRAVATED OF AN UNBORN CHILD,04B
0488,BATTERY,AGGRAVATED DOMESTIC BATTERY - HANDGUN,04B
0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,04B
0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,04B
0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,04B
0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",04B
051A,ASSAULT,AGGRAVATED - HANDGUN,04A
051B,ASSAULT,AGGRAVATED - OTHER FIREARM,04A
0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,04A
0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,04A
0545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",08A
0550,ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,04A
0551,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER FIREARM,04A
0552,ASSAULT,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,04A
0553,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,04A
0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",08A
0555,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,04A
0556,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER FIREARM,04A
0557,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,04A
0558,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,04A
0560,ASSAULT,SIMPLE,08A
0580,STALKING,SIMPLE,08A
0581,STALKING,AGGRAVATED,08A
0583,STALKING,CYBERSTALKING,08A
0584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,26
0610,BURGLARY,FORCIBLE ENTRY,05
0620,BURGLARY,UNLAWFUL ENTRY,05
0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,05
0650,BURGLARY,HOME INVASION,05
0710,THEFT,THEFT FROM MOTOR VEHICLE,06
0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,06
0810,THEFT,OVER $500,06
0820,THEFT,$500 AND UNDER,06
0850,THEFT,ATTEMPT THEFT,06
0860,THEFT,RETAIL THEFT,06
0865,THEFT,DELIVERY CONTAINER THEFT,06
0870,THEFT,POCKET-PICKING,06
0880,THEFT,PURSE-SNATCHING,06
0890,THEFT,FROM BUILDING,06
0895,THEFT,FROM COIN-OPERATED MACHINE OR DEVICE,06
0910,MOTOR VEHICLE THEFT,AUTOMOBILE,07
0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",07
0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",07
0918,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",07
0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,07
0925,MOTOR VEHICLE THEFT,"ATTEMPT - TRUCK, BUS, MOTOR HOME",07
0927,MOTOR VEHICLE THEFT,"ATTEMPT - CYCLE, SCOOTER, BIKE WITH VIN",07
0928,MOTOR VEHICLE THEFT,"ATTEMPT - CYCLE, SCOOTER, BIKE NO VIN",07
0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,07
0935,MOTOR VEHICLE THEFT,"THEFT / RECOVERY - TRUCK, BUS, MOBILE HOME",07
0937,MOTOR VEHICLE THEFT,"THEFT / RECOVERY - CYCLE, SCOOTER, BIKE WITH VIN",07
0938,MOTOR VEHICLE THEFT,"THEFT / RECOVERY - CYCLE, SCOOTER, BIKE NO VIN",07
1010,ARSON,BY EXPLOSIVE,09
1020,ARSON,BY FIRE,09
1025,ARSON,AGGRAVATED,09
1030,ARSON,POSSESSION - EXPLOSIVE / INCENDIARY DEVICE,09
1050,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,26
1055,HUMAN TRAFFICKING,INVOLUNTARY SERVITUDE,26
1090,ARSON,ATTEMPT ARSON,09
1110,DECEPTIVE PRACTICE,BOGUS CHECK,11
1120,DECEPTIVE PRACTICE,FORGERY,10
1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,10
1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,10
